pdf_name,tool,time_sec,char_count,accuracy,failed,content_completeness,table_preservation
1810.04805v2_tables&figures,pdfplumber,0.9782,8830,,False,,
1810.04805v2_tables&figures,pymupdf,0.0957,9215,,False,,
2606.12848v1_Multicolumn,pdfplumber,0.4385,11869,,False,,
2606.12848v1_Multicolumn,pymupdf,0.0186,13297,,False,,
DOC3621-190_PrimosSubrRef_19.4_Apr85_ImageOnly,pdfplumber,0.0333,0,,False,,
DOC3621-190_PrimosSubrRef_19.4_Apr85_ImageOnly,pymupdf,0.0026,0,,False,,
FAO_EMSTOT_Worldbankdata_Greenhouse_Data tables,pdfplumber,0.8133,10572,,False,,
FAO_EMSTOT_Worldbankdata_Greenhouse_Data tables,pymupdf,0.019,5630,,False,,
fw2_Scanned_govt_Form,pdfplumber,0.4537,5494,,False,,
fw2_Scanned_govt_Form,pymupdf,0.0166,5578,,False,,
Lecture_imageOnly,pdfplumber,0.123,0,,False,,
Lecture_imageOnly,pymupdf,0.0067,0,,False,,
Liberty Bell - Wikipedia_Clean_baseline,pdfplumber,0.9133,12240,,False,,
Liberty Bell - Wikipedia_Clean_baseline,pymupdf,0.0153,12249,,False,,
_10-K-Q4-2023-As-Filed_FinancialTables,pdfplumber,0.335,5162,,False,,
_10-K-Q4-2023-As-Filed_FinancialTables,pymupdf,0.011,5677,,False,,
